FECHA (YYMMDD);HORA (HHMM);Direccion Viento (grados);
250121;0200;143,896;
250121;0300;34,5873;
250121;0400;152,972;
250121;0500;133,692;
250121;0600;114,672;
250121;0700;334,48;
250121;0800;31,9353;
250121;0900;269,771;
250121;1000;237,699;
250121;1100;225,672;
250121;1200;235,467;
250121;1300;235,686;
250121;1400;250,248;
250121;1500;238,079;
250121;1600;245,255;
250121;1700;247,658;
250121;1800;249,575;
250121;1900;239,957;
250121;2000;223,919;
250121;2100;157,326;
250121;2200;187,936;
250121;2300;119,913;
250122;0000;79,7249;
250122;0100;276,153;
250122;0200;205,81;
250122;0300;353,731;
250122;0400;14,5611;
250122;0500;358,027;
250122;0600;346,987;
250122;0700;316,54;
250122;0800;293,463;
250122;0900;299,736;
250122;1000;292,938;
250122;1100;259,949;
250122;1200;251,598;
250122;1300;248,398;
250122;1400;251,649;
250122;1500;256,413;
250122;1600;260,383;
250122;1700;261,816;
250122;1800;;
250122;1900;;
250122;2000;;
250122;2100;306,162;
250122;2200;277,686;
250122;2300;250,875;
250123;0000;281,086;
250123;0100;340,138;
250123;0200;342,402;
250123;0300;343,978;
250123;0400;8,94028;
250123;0500;352,291;
250123;0600;318,552;
250123;0700;323,3;
250123;0800;322,116;
250123;0900;313,637;
250123;1000;323,159;
250123;1100;299,666;
250123;1200;298,598;
250123;1300;262,193;
250123;1400;224,991;
250123;1500;241,985;
250123;1600;230,614;
250123;1700;221,935;
250123;1800;227,13;
250123;1900;223,387;
250123;2000;112,884;
250123;2100;121,388;
250123;2200;107,314;
250123;2300;126,675;
250124;0000;88,8872;
250124;0100;137,161;
250124;0200;163,863;
250124;0300;136,164;
250124;0400;168,398;
250124;0500;164,138;
250124;0600;145,342;
250124;0700;167,511;
250124;0800;124,729;
250124;0900;136,657;
250124;1000;129,771;
250124;1100;122,276;
250124;1200;197,165;
250124;1300;209,895;
250124;1400;217;
250124;1500;218,557;
250124;1600;219,311;
250124;1700;212,528;
250124;1800;211,368;
250124;1900;222,001;
250124;2000;140,851;
250124;2100;123,497;
250124;2200;130,426;
250124;2300;68,7915;
250125;0000;31,5329;
250125;0100;20,795;
250125;0200;73,2755;
250125;0300;74,6519;
250125;0400;101,852;
250125;0500;94,0636;
250125;0600;136,274;
250125;0700;154,345;
250125;0800;171,676;
250125;0900;185,201;
250125;1000;196,253;
250125;1100;262,08;
250125;1200;299,979;
250125;1300;305,83;
250125;1400;313,503;
250125;1500;217,668;
250125;1600;210,543;
250125;1700;208,795;
250125;1800;198,847;
250125;1900;173,981;
250125;2000;124,923;
250125;2100;121,931;
250125;2200;119,598;
250125;2300;124,337;
250126;0000;0;
250126;0100;136,486;
250126;0200;88,5861;
250126;0300;10,8188;
250126;0400;37,5355;
250126;0500;110,457;
250126;0600;149,964;
250126;0700;315,404;
250126;0800;306,067;
250126;0900;311,372;
250126;1000;317,195;
250126;1100;319,801;
250126;1200;242,5;
250126;1300;246,867;
250126;1400;245,453;
250126;1500;238,986;
250126;1600;242,263;
250126;1700;243,355;
250126;1800;248,68;
250126;1900;282,732;
250126;2000;352,203;
250126;2100;142,012;
250126;2200;99,5405;
250126;2300;105,905;
250127;0000;328,873;
250127;0100;336,032;
250127;0200;320,843;
250127;0300;309,308;
250127;0400;104,971;
250127;0500;134,612;
250127;0600;118,337;
250127;0700;117,219;
250127;0800;119,948;
250127;0900;120,891;
250127;1000;170,702;
250127;1100;158,899;
250127;1200;199,955;
250127;1300;196,592;
250127;1400;206,605;
250127;1500;215,455;
250127;1600;213,45;
250127;1700;211,349;
250127;1800;214,174;
250127;1900;138,944;
250127;2000;114,641;
250127;2100;119,864;
250127;2200;161,096;
250127;2300;161,435;
250128;0000;168,596;
250128;0100;157,964;
250128;0200;152,284;
250128;0300;150,292;
250128;0400;93,1682;
250128;0500;121,006;
250128;0600;113,352;
250128;0700;133,513;
250128;0800;163,084;
250128;0900;178,254;
250128;1000;180,046;
250128;1100;185,099;
250128;1200;199,937;
250128;1300;194,952;
250128;1400;188,884;
250128;1500;193,007;
250128;1600;197,623;
250128;1700;192,721;
250128;1800;160,878;
250128;1900;124,806;
250128;2000;119,203;
250128;2100;80,6658;
250128;2200;121,054;
250128;2300;0;
250129;0000;15,6817;
250129;0100;139,535;
250129;0200;130,432;
250129;0300;136,706;
250129;0400;128,388;
250129;0500;138,204;
250129;0600;139,984;
250129;0700;130,187;
250129;0800;156,18;
250129;0900;164,719;
250129;1000;205,554;
250129;1100;298,229;
